"year","population","state"
2006,5163555,"Minnesota"
2006,5842704,"Missouri"
2006,2904978,"Mississippi"
2006,952692,"Montana"
2006,8917270,"North Carolina"
2006,649422,"North Dakota"
2006,1772693,"Nebraska"
2006,1308389,"New Hampshire"
2006,8661679,"New Jersey"
2006,1962137,"New Mexico"
2006,2522658,"Nevada"
2006,19104631,"New York"
2006,11481213,"Ohio"
2006,3594090,"Oklahoma"
2006,3670883,"Oregon"
2006,12510809,"Pennsylvania"
2006,1063096,"Rhode Island"
2006,4357847,"South Carolina"
2006,783033,"South Dakota"
2006,6088766,"Tennessee"
2006,23359580,"Texas"
2006,2525507,"Utah"
2006,7673725,"Virginia"
2006,622892,"Vermont"
2006,6370753,"Washington"
2006,5577655,"Wisconsin"
2006,1827912,"West Virginia"
2006,522667,"Wyoming"
2007,680300,"Alaska"
2007,4672840,"Alabama"
2007,2848650,"Arkansas"
2007,6167681,"Arizona"
2007,36250311,"California"
2007,4803868,"Colorado"
2007,3527270,"Connecticut"
2007,574404,"District of Columbia"
2007,871749,"Delaware"
2007,18367842,"Florida"
2007,9349988,"Georgia"
2007,1315675,"Hawaii"
2007,2999212,"Iowa"
2007,1505105,"Idaho"
2007,12695866,"Illinois"
2007,6379599,"Indiana"
2007,2783785,"Kansas"
2007,4256672,"Kentucky"
2007,4375581,"Louisiana"
2007,6431559,"Massachusetts"
2007,5653408,"Maryland"
2007,1327040,"Maine"
2007,10001284,"Michigan"
2007,5207203,"Minnesota"
2007,5887612,"Missouri"
2007,2928350,"Mississippi"
2007,964706,"Montana"
2007,9118037,"North Carolina"
2007,652822,"North Dakota"
2007,1783440,"Nebraska"
2007,1312540,"New Hampshire"
2007,8677885,"New Jersey"
2007,1990070,"New Mexico"
2007,2601072,"Nevada"
2007,19132335,"New York"
2007,11500468,"Ohio"
2007,3634349,"Oklahoma"
2007,3722417,"Oregon"
2007,12563937,"Pennsylvania"
2007,1057315,"Rhode Island"
2007,4444110,"South Carolina"
2007,791623,"South Dakota"
2007,6175727,"Tennessee"
2007,23831983,"Texas"
2007,2597746,"Utah"
2007,7751000,"Virginia"
2007,623481,"Vermont"
2007,6461587,"Washington"
2007,5610775,"Wisconsin"
2007,1834052,"West Virginia"
2007,534876,"Wyoming"
2008,687455,"Alaska"
2008,4718206,"Alabama"
2008,2874554,"Arkansas"
2008,6280362,"Arizona"
2008,36604337,"California"
2008,4889730,"Colorado"
2008,3545579,"Connecticut"
2008,580236,"District of Columbia"
2008,883874,"Delaware"
2008,18527305,"Florida"
2008,9504843,"Georgia"
2008,1332213,"Hawaii"
2008,3016734,"Iowa"
2008,1534320,"Idaho"
2008,12747038,"Illinois"
2008,6424806,"Indiana"
2008,2808076,"Kansas"
2008,4289878,"Kentucky"
2008,4435586,"Louisiana"
2008,6468967,"Massachusetts"
2008,5684965,"Maryland"
2008,1330509,"Maine"
2008,9946889,"Michigan"
2008,5247018,"Minnesota"
2008,5923916,"Missouri"
2008,2947806,"Mississippi"
2008,976415,"Montana"
2008,9309449,"North Carolina"
2008,657569,"North Dakota"
2008,1796378,"Nebraska"
2008,1315906,"New Hampshire"
2008,8711090,"New Jersey"
2008,2010662,"New Mexico"
2008,2653630,"Nevada"
2008,19212436,"New York"
2008,11515391,"Ohio"
2008,3668976,"Oklahoma"
2008,3768748,"Oregon"
2008,12612285,"Pennsylvania"
2008,1055003,"Rhode Island"
2008,4528996,"South Carolina"
2008,799124,"South Dakota"
2008,6247411,"Tennessee"
2008,24309039,"Texas"
2008,2663029,"Utah"
2008,7833496,"Virginia"
2008,624151,"Vermont"
2008,6562231,"Washington"
2008,5640996,"Wisconsin"
2008,1840310,"West Virginia"
2008,546043,"Wyoming"
2009,698895,"Alaska"
2009,4757938,"Alabama"
2009,2896843,"Arkansas"
2009,6343154,"Arizona"
2009,36961229,"California"
2009,4972195,"Colorado"
2009,3561807,"Connecticut"
2009,592228,"District of Columbia"
2009,891730,"Delaware"
2009,18652644,"Florida"
